id,name,now_cost,position,team,goals_conceded,points_per_game_rank,selected_rank_type,starts_per_90,penalties_saved,creativity_rank,chance_of_playing_next_round,penalties_order,bonus,transfers_out_event,bps,expected_goals_conceded_per_90,red_cards,influence_rank,expected_assists,threat_rank_type,region,now_cost_rank_type,points_per_game,now_cost_rank,clean_sheets,influence,yellow_cards,points_per_game_rank_type,total_points,expected_goals,creativity,own_goals,creativity_rank_type,expected_goals_per_90,news,expected_goal_involvements,cost_change_event,cost_change_start,threat_rank,transfers_in,expected_goal_involvements_per_90,status,ep_next,penalties_missed,saves_per_90,selected_by_percent,minutes,transfers_in_event,dreamteam_count,expected_goals_conceded,clean_sheets_per_90,ict_index_rank,form,ep_this,selected_rank,saves,in_dreamteam,form_rank_type,direct_freekicks_order,news_added,ict_index,cost_change_start_fall,starts,web_name,value_form,event_points,transfers_out,expected_assists_per_90,cost_change_event_fall,goals_scored,chance_of_playing_this_round,ict_index_rank_type,corners_and_indirect_freekicks_order,influence_rank_type,assists,threat,goals_conceded_per_90,value_season,form_rank
15,David Raya Martin,55,GKP,Arsenal,1,6,1,1.0,0,642,,,6,62616,96,1.08,0,10,0.01,69,200.0,3,7.2,110,3,130.8,1,1,29,0.00,0.0,0,69,0.0,,0.01,0,0,634,746654,0.0,a,7.0,0,3.5,28.3,360,105179,1,4.32,0.75,114,7.0,8.0,10,14,True,1,,,13.1,0,4,Raya,1.3,9,528537,0.0,0,0,,2,,2,0,0.0,0.25,5.3,8
16,Declan Rice,63,MID,Arsenal,1,374,34,1.22,0,157,100.0,,0,16028,17,0.68,1,239,0.19,66,241.0,47,1.0,68,2,25.4,1,194,3,0.19,27.4,0,107,0.08,,0.38,0,-2,116,55440,0.16,a,0.0,0,0.0,3.0,222,7630,0,1.68,0.81,193,0.0,0.0,107,0,False,297,2.0,2024-08-31T21:00:04.536499Z,8.1,2,3,Rice,0.0,0,398844,0.08,0,0,0.0,102,2.0,105,0,35.0,0.41,0.5,649
17,Bukayo Saka,100,MID,Arsenal,1,5,3,1.06,0,11,100.0,1.0,4,175513,109,1.07,0,4,1.02,2,241.0,4,7.8,5,3,153.8,1,4,31,1.40,145.3,0,9,0.37,,2.42,-1,0,3,884447,0.64,a,6.3,0,0.0,29.1,341,71866,1,4.05,0.79,2,6.3,7.3,9,0,True,9,,2024-09-15T23:00:06.002662Z,50.5,0,4,Saka,0.6,7,1120502,0.27,1,1,,1,1.0,2,4,206.0,0.26,3.1,15
18,William Saliba,60,DEF,Arsenal,1,48,1,1.0,0,294,,,0,108645,82,1.08,0,95,0.03,100,73.0,6,4.8,84,3,68.8,1,14,19,0.00,3.8,0,92,0.0,,0.03,0,0,308,385935,0.01,a,4.3,0,0.0,35.9,360,32679,0,4.32,0.75,213,4.3,5.3,4,0,False,16,,,7.5,0,4,Saliba,0.7,5,794170,0.01,0,0,,65,,32,0,2.0,0.25,3.2,55
20,Thomas Partey,50,MID,Arsenal,1,56,53,1.0,0,75,,,3,12797,63,1.08,0,48,0.21,123,81.0,125,4.5,199,3,90.8,1,19,18,0.16,54.5,0,60,0.04,,0.37,0,0,217,175774,0.09,a,5.0,0,0.0,1.5,360,12223,0,4.32,0.75,82,5.0,6.0,168,0,False,14,,,15.5,0,4,Thomas,1.0,3,72148,0.05,0,1,,52,,17,0,9.0,0.25,3.6,30
21,Kieran Tierney,44,DEF,Arsenal,0,487,194,0.0,0,464,0.0,,0,187,0,0.0,0,478,0.00,164,243.0,128,0.0,531,0,0.0,0,178,0,0.00,0.0,0,178,0.0,Hamstring injury - Unknown return date,0.00,0,-1,414,294,0.0,i,0.0,0,0.0,0.0,0,35,0,0.00,0.0,484,0.0,0.0,574,0,False,178,,2024-08-12T14:30:04.394338Z,0.0,1,0,Tierney,0.0,0,3330,0.0,0,0,0.0,180,,180,0,0.0,0.0,0.0,472
22,Tomiyasu Takehiro,48,DEF,Arsenal,0,591,187,0.0,0,584,0.0,,0,274,0,0.0,0,585,0.00,205,108.0,40,0.0,334,0,0.0,0,207,0,0.00,0.0,0,209,0.0,Knee injury - Unknown return date,0.00,-1,-2,553,297,0.0,i,0.0,0,0.0,0.0,0,45,0,0.00,0.0,589,0.0,0.0,544,0,False,208,,2024-08-12T14:30:04.404182Z,0.0,2,0,Tomiyasu,0.0,0,5291,0.0,1,0,0.0,209,,209,0,0.0,0.0,0.0,582
23,Leandro Trossard,69,MID,Arsenal,1,118,48,1.05,0,120,,,1,14017,51,0.97,0,132,0.13,45,21.0,16,3.0,30,1,56.6,0,51,12,0.26,37.2,0,86,0.14,,0.39,0,-1,77,77656,0.21,a,3.7,0,0.0,1.8,172,7552,0,1.85,0.52,93,3.7,4.7,149,0,False,32,,,14.7,1,2,Trossard,0.5,3,129800,0.07,0,1,,56,4.0,49,0,52.0,0.52,1.7,75
24,Benjamin White,65,DEF,Arsenal,1,37,19,1.0,0,259,,,0,36224,76,1.08,0,159,0.09,39,241.0,2,5.0,45,3,47.2,0,9,20,0.11,10.8,0,82,0.03,,0.20,0,0,175,92345,0.05,a,4.7,0,0.0,8.2,360,8732,0,4.32,0.75,214,4.7,5.7,53,0,False,10,,,7.5,0,4,White,0.7,6,301977,0.02,0,0,,66,,62,0,17.0,0.25,3.1,41
25,Oleksandr Zinchenko,49,DEF,Arsenal,0,91,52,1.15,0,286,50.0,,0,33492,25,0.69,0,328,0.04,77,225.0,32,3.5,298,1,7.2,0,29,7,0.00,4.9,0,88,0.0,Calf injury - 50% chance of playing,0.04,0,-1,250,73593,0.05,d,0.1,0,0.0,1.9,78,1154,0,0.60,1.15,336,0.3,1.3,141,0,False,118,,2024-09-15T23:00:06.018330Z,1.8,1,1,Zinchenko,0.1,0,184142,0.05,0,0,,111,,112,0,6.0,0.0,1.4,353
