id,name,now_cost,position,team,goals_conceded,points_per_game_rank,selected_rank_type,starts_per_90,penalties_saved,creativity_rank,chance_of_playing_next_round,penalties_order,bonus,transfers_out_event,bps,expected_goals_conceded_per_90,red_cards,influence_rank,expected_assists,threat_rank_type,region,now_cost_rank_type,points_per_game,now_cost_rank,clean_sheets,influence,yellow_cards,points_per_game_rank_type,total_points,expected_goals,creativity,own_goals,creativity_rank_type,expected_goals_per_90,news,expected_goal_involvements,cost_change_event,cost_change_start,threat_rank,transfers_in,expected_goal_involvements_per_90,status,ep_next,penalties_missed,saves_per_90,selected_by_percent,minutes,transfers_in_event,dreamteam_count,expected_goals_conceded,clean_sheets_per_90,ict_index_rank,form,ep_this,selected_rank,saves,in_dreamteam,form_rank_type,direct_freekicks_order,news_added,ict_index,cost_change_start_fall,starts,web_name,value_form,event_points,transfers_out,expected_assists_per_90,cost_change_event_fall,goals_scored,chance_of_playing_this_round,ict_index_rank_type,corners_and_indirect_freekicks_order,influence_rank_type,assists,threat,goals_conceded_per_90,value_season,form_rank
140,Cameron Peupion,45,MID,Brighton,0,551,192,0.0,0,544,,,0,416,0,0.0,0,543,0.00,207,13.0,259,0.0,454,0,0.0,0,232,0,0.00,0.0,0,232,0.0,,0.00,0,0,509,2970,0.0,a,0.0,0,0.0,0.1,0,379,0,0.00,0.0,548,0.0,0.5,497,0,False,223,,,0.0,0,0,Peupion,0.0,0,2740,0.0,0,0,,230,,226,0,0.0,0.0,0.0,539
141,Jeremy Sarmiento Morante,49,MID,Brighton,0,331,264,0.0,0,343,0.0,,0,186,3,0.0,0,389,0.00,255,,206,1.0,313,0,0.2,0,165,1,0.00,0.8,0,189,0.0,Loaned to Burnley,0.00,0,-1,576,354,0.0,u,0.0,0,0.0,0.0,8,0,0,0.00,0.0,394,0.0,0.0,598,0,False,268,,2024-08-31T06:27:42.007071Z,0.1,1,0,Sarmiento,0.0,0,2313,0.0,0,0,0.0,202,,199,0,0.0,0.0,0.2,600
142,Jason Steele,45,GKP,Brighton,1,53,18,1.0,0,491,,,1,44930,46,0.94,0,193,0.00,45,241.0,11,4.5,348,1,40.4,0,9,9,0.00,0.0,0,49,0.0,,0.00,0,0,444,278569,0.0,a,0.7,0,1.5,2.3,180,2708,0,1.88,0.5,283,0.7,1.2,126,3,False,24,,,4.1,0,2,Steele,0.2,0,169465,0.0,0,0,,24,,24,0,0.0,0.5,2.0,280
143,Deniz Undav,55,FWD,Brighton,0,646,73,0.0,0,645,0.0,,0,44,0,0.0,0,644,0.00,66,,35,0.0,124,0,0.0,0,67,0,0.00,0.0,0,66,0.0,Transferred to Stuttgart,0.00,0,0,637,0,0.0,u,0.0,0,0.0,0.0,0,0,0,0.00,0.0,646,0.0,0.0,632,0,False,67,,2024-08-10T12:18:55.962223Z,0.0,0,0,Undav,0.0,0,1298,0.0,0,0,0.0,66,,65,0,0.0,0.0,0.0,644
144,Jan Paul van Hecke,45,DEF,Brighton,2,77,76,1.0,0,271,,,0,4094,74,1.08,0,71,0.08,50,152.0,98,3.8,437,2,77.8,1,23,15,0.05,8.6,0,85,0.01,,0.13,0,0,195,62387,0.03,a,3.0,0,0.0,0.8,360,11188,0,4.31,0.5,168,3.0,3.5,213,0,False,29,,,9.9,0,4,Van Hecke,0.7,6,21671,0.02,0,0,,46,,20,0,12.0,0.5,3.3,95
145,Joël Veltman,45,DEF,Brighton,2,39,37,1.06,0,143,100.0,,4,10466,86,0.89,0,116,0.48,68,152.0,57,4.8,364,2,63.0,1,10,19,0.05,32.5,0,32,0.01,,0.53,0,0,232,341167,0.14,a,3.7,0,0.0,3.5,341,75147,1,3.36,0.53,159,3.7,4.2,97,0,False,19,,2024-08-31T21:00:04.664470Z,10.3,0,4,Veltman,0.8,7,120321,0.13,0,0,100.0,44,,41,0,7.0,0.53,4.2,65
146,Bart Verbruggen,45,GKP,Brighton,1,54,20,1.0,0,537,100.0,,0,6088,43,1.22,0,120,0.00,58,152.0,24,4.5,444,1,61.2,1,10,9,0.00,0.0,0,60,0.0,,0.00,0,0,502,206575,0.0,a,3.0,0,3.5,2.1,180,28072,0,2.43,0.5,245,3.0,3.5,131,7,False,10,,2024-08-12T14:30:04.523944Z,6.1,0,2,Verbruggen,0.7,5,52819,0.0,0,0,100.0,21,,20,0,0.0,0.5,2.0,96
147,Adam Webster,44,DEF,Brighton,0,287,163,0.0,0,346,,,0,535,9,0.0,0,342,0.02,92,241.0,117,1.0,519,0,5.6,0,94,1,0.00,0.7,0,115,0.0,,0.02,-1,-1,281,1850,0.13,a,0.0,0,0.0,0.1,14,280,0,0.00,0.0,361,0.0,0.5,441,0,False,169,,,0.8,1,0,Webster,0.0,0,4512,0.13,1,0,,116,,117,0,2.0,0.0,0.2,462
148,Danny Welbeck,57,FWD,Brighton,2,12,5,1.07,0,71,,3.0,6,103281,87,1.12,0,29,0.20,6,241.0,29,6.2,100,2,105.0,0,3,25,1.59,56.8,0,4,0.43,,1.79,0,2,12,1969592,0.48,a,4.3,0,0.0,18.6,336,209718,1,4.20,0.54,19,4.3,4.8,16,0,False,10,3.0,,30.1,-2,4,Welbeck,0.8,2,419173,0.05,0,2,,5,,4,1,139.0,0.54,4.4,53
149,Mats Wieffer,50,MID,Brighton,0,15,173,1.0,0,206,100.0,,0,838,20,0.45,0,222,0.02,273,152.0,157,6.0,243,1,31.0,0,7,6,0.00,16.3,0,130,0.0,,0.02,0,0,604,10394,0.02,a,0.0,0,0.0,0.1,90,67,0,0.45,1.0,266,0.0,0.4,467,0,False,282,,2024-08-29T09:30:04.701478Z,4.7,0,1,Wieffer,0.0,0,12231,0.02,0,0,75.0,131,,94,1,0.0,0.0,1.2,620
595,Brajan Gruda,54,MID,Brighton,0,642,253,0.0,0,639,25.0,,0,195,0,0.0,0,640,0.00,288,80.0,102,0.0,164,0,0.0,0,295,0,0.00,0.0,0,294,0.0,Knock - 25% chance of playing,0.00,0,-1,630,497,0.0,d,0.0,0,0.0,0.0,0,12,0,0.00,0.0,642,0.0,0.2,581,0,False,293,,2024-08-30T04:00:05.748621Z,0.0,1,0,Gruda,0.0,0,2467,0.0,0,0,50.0,295,,294,0,0.0,0.0,0.0,640
600,Yasin Ayari,50,MID,Brighton,1,209,244,0.55,0,107,,,0,199,23,1.27,0,216,0.39,46,206.0,163,1.8,255,1,33.6,0,104,7,0.52,41.1,0,79,0.28,,0.91,0,0,78,1694,0.49,a,2.0,0,0.0,0.0,165,394,0,2.32,0.55,125,2.0,2.5,569,0,False,67,,,12.5,0,1,Ayari,0.4,3,1007,0.21,0,0,,71,,91,0,50.0,0.55,1.4,148
601,Andrew Moran,50,MID,Brighton,0,630,289,0.0,0,627,0.0,,0,23,0,0.0,0,626,0.00,278,,165,0.0,257,0,0.0,0,288,0,0.00,0.0,0,287,0.0,Loaned to Stoke City,0.00,0,0,614,24,0.0,u,0.0,0,0.0,0.0,0,0,0,0.00,0.0,630,0.0,0.0,642,0,False,286,,2024-08-20T12:19:09.002604Z,0.0,0,0,Moran,0.0,0,437,0.0,0,0,0.0,288,,285,0,0.0,0.0,0.0,628
615,Carl Rushworth,40,GKP,Brighton,0,447,63,0.0,0,424,0.0,,0,407,0,0.0,0,438,0.00,26,,65,0.0,630,0,0.0,0,52,0,0.00,0.0,0,31,0.0,Loaned to Hull City,0.00,0,0,365,6698,0.0,u,0.0,0,0.0,0.1,0,0,0,0.00,0.0,444,0.0,0.0,481,0,False,50,,2024-08-31T06:28:38.039682Z,0.0,0,0,Rushworth,0.0,0,4805,0.0,0,0,0.0,52,,52,0,0.0,0.0,0.0,428
618,Georginio Rutter,55,MID,Brighton,0,222,204,1.06,0,156,,,0,448,7,1.32,0,332,0.11,59,73.0,74,1.7,126,1,7.0,0,115,5,0.54,27.7,0,106,0.57,,0.65,0,0,99,5409,0.69,a,1.7,0,0.0,0.1,85,706,0,1.25,1.06,230,1.7,2.2,514,0,False,93,,,7.0,0,1,Georginio,0.3,3,2480,0.12,0,0,,112,,165,0,40.0,0.0,0.9,183
628,Ferdi Kadioglu,45,DEF,Brighton,0,299,139,0.0,0,177,100.0,,0,947,5,0.55,0,317,0.02,94,219.0,82,1.0,402,0,8.8,0,103,1,0.03,21.5,0,44,0.12,,0.05,0,0,283,22507,0.2,a,0.5,0,0.0,0.2,23,3438,0,0.14,0.0,297,0.5,1.0,377,0,False,100,,2024-09-08T23:30:05.413986Z,3.2,0,0,F.Kadıoğlu,0.1,1,7025,0.08,0,0,100.0,97,,110,0,2.0,0.0,0.2,317
629,Matt O'Riley,55,MID,Brighton,0,644,287,0.0,0,643,0.0,,0,59,0,0.0,0,642,0.00,289,58.0,70,0.0,116,0,0.0,0,296,0,0.00,0.0,0,295,0.0,Ankle injury - Unknown return date,0.00,0,0,635,637,0.0,i,0.0,0,0.0,0.0,0,68,0,0.00,0.0,644,0.0,0.0,640,0,False,294,,2024-08-28T16:30:04.729425Z,0.0,0,0,O'Riley,0.0,0,320,0.0,0,0,0.0,296,,295,0,0.0,0.0,0.0,642
150,Andrey Nascimento dos Santos,45,MID,Chelsea,0,569,286,0.0,0,562,0.0,,0,30,0,0.0,0,562,0.00,226,,283,0.0,480,0,0.0,0,249,0,0.00,0.0,0,249,0.0,Has joined Strasbourg on a season-long loan,0.00,0,0,529,0,0.0,u,0.0,0,0.0,0.0,0,0,0,0.00,0.0,567,0.0,0.0,638,0,False,243,,2024-08-05T10:16:34.176364Z,0.0,0,0,Andrey Santos,0.0,0,462,0.0,0,0,0.0,248,,244,0,0.0,0.0,0.0,560
151,Ângelo Gabriel Borges Damaceno,45,MID,Chelsea,0,562,118,0.0,0,555,0.0,,0,2774,0,0.0,0,555,0.00,220,,277,0.0,472,0,0.0,0,243,0,0.00,0.0,0,243,0.0,Transferred to Al-Nassr,0.00,0,0,522,5940,0.0,u,0.0,0,0.0,0.2,0,0,0,0.00,0.0,560,0.0,0.0,340,0,False,237,,2024-09-05T10:38:18.297070Z,0.0,0,0,Ângelo,0.0,0,17397,0.0,0,0,0.0,242,,238,0,0.0,0.0,0.0,553
153,Benoît Badiashile,44,DEF,Chelsea,0,498,153,0.0,0,478,,,0,859,0,0.0,0,489,0.00,175,73.0,142,0.0,549,0,0.0,0,188,0,0.00,0.0,0,188,0.0,,0.00,0,-1,429,3710,0.0,a,0.0,0,0.0,0.1,0,254,0,0.00,0.0,495,0.0,0.0,417,0,False,188,,,0.0,1,0,B.Badiashile,0.0,0,7610,0.0,0,0,,190,,190,0,0.0,0.0,0.0,483
154,Lucas Bergström,40,GKP,Chelsea,0,449,47,0.0,0,426,,,0,872,0,0.0,0,440,0.00,27,72.0,66,0.0,633,0,0.0,0,53,0,0.00,0.0,0,32,0.0,,0.00,0,0,367,8198,0.0,a,0.0,0,0.0,0.3,0,787,0,0.00,0.0,446,0.0,0.0,318,0,False,51,,,0.0,0,0,Bergström,0.0,0,6306,0.0,0,0,,53,,53,0,0.0,0.0,0.0,430
155,Marcus Bettinelli,40,GKP,Chelsea,0,412,41,0.0,0,386,,,0,859,0,0.0,0,401,0.00,8,241.0,47,0.0,585,0,0.0,0,34,0,0.00,0.0,0,13,0.0,,0.00,0,0,327,5359,0.0,a,0.0,0,0.0,0.4,0,520,0,0.00,0.0,407,0.0,0.0,279,0,False,32,,,0.0,0,0,Bettinelli,0.0,0,6331,0.0,0,0,,34,,34,0,0.0,0.0,0.0,392
157,Moisés Caicedo Corozo,49,MID,Chelsea,5,179,73,1.04,0,106,,,0,4162,54,1.25,0,129,0.21,152,62.0,213,2.0,323,1,57.8,1,82,8,0.05,41.7,0,78,0.01,,0.26,-1,-1,272,26947,0.06,a,2.3,0,0.0,0.7,345,9221,0,4.79,0.26,158,2.3,2.3,226,0,False,54,,,10.4,1,4,Caicedo,0.5,3,34874,0.05,1,0,,87,,47,0,4.0,1.3,1.6,128
158,Cesare Casadei,45,MID,Chelsea,0,560,141,0.0,0,553,,,0,1301,0,0.0,0,552,0.00,217,106.0,272,0.0,467,0,0.0,0,241,0,0.00,0.0,0,241,0.0,,0.00,0,0,519,8399,0.0,a,0.0,0,0.0,0.1,0,1241,0,0.00,0.0,557,0.0,0.0,404,0,False,233,,,0.0,0,0,Casadei,0.0,0,8637,0.0,0,0,,239,,235,0,0.0,0.0,0.0,549
160,Ben Chilwell,48,DEF,Chelsea,0,590,86,0.0,0,583,,,0,4561,0,0.0,0,584,0.00,204,241.0,39,0.0,332,0,0.0,0,206,0,0.00,0.0,0,208,0.0,,0.00,-1,-2,552,12490,0.0,a,0.0,0,0.0,0.6,0,1675,0,0.00,0.0,588,0.0,0.0,235,0,False,207,,,0.0,2,0,Chilwell,0.0,0,49548,0.0,1,0,,208,,208,0,0.0,0.0,0.0,581
161,Carney Chukwuemeka,49,MID,Chelsea,0,609,193,0.0,0,601,,,0,518,0,0.0,0,604,0.00,257,241.0,211,0.0,319,0,0.0,0,274,0,0.00,0.0,0,274,0.0,,0.00,0,-1,578,2700,0.0,a,0.0,0,0.0,0.1,0,270,0,0.00,0.0,608,0.0,0.0,498,0,False,270,,,0.0,1,0,Chukwuemeka,0.0,0,3923,0.0,0,0,,275,,272,0,0.0,0.0,0.0,602
162,Levi Colwill,45,DEF,Chelsea,5,155,61,1.0,0,175,,,0,6461,51,1.23,0,60,0.17,28,241.0,97,2.2,429,1,83.4,1,48,9,0.18,21.6,0,42,0.04,,0.35,0,0,149,129530,0.08,a,2.7,0,0.0,1.5,360,19345,0,4.91,0.25,115,2.7,2.7,164,0,False,35,,,13.0,0,4,Colwill,0.6,5,59319,0.04,0,0,,28,,18,0,24.0,1.25,2.0,113
163,Marc Cucurella Saseta,50,DEF,Chelsea,4,157,24,1.06,0,198,,,0,22904,53,1.24,0,160,0.24,59,200.0,22,2.2,200,1,47.0,2,49,9,0.00,17.2,0,54,0.0,,0.24,0,0,208,200780,0.06,a,2.3,0,0.0,6.0,341,26502,0,4.71,0.26,216,2.3,2.3,66,0,False,44,,,7.4,0,4,Cucurella,0.5,5,255181,0.06,0,0,,67,,63,0,10.0,1.06,1.8,129
164,David Datro Fofana,54,FWD,Chelsea,0,643,62,0.0,0,640,0.0,,0,2176,0,0.0,0,641,0.00,64,54.0,44,0.0,166,0,0.0,0,65,0,0.00,0.0,0,64,0.0,Transferred to AEK Athens,0.00,0,-1,631,4727,0.0,u,0.0,0,0.0,0.1,0,0,0,0.00,0.0,643,0.0,0.0,446,0,False,65,,2024-09-11T14:26:52.770225Z,0.0,1,0,D.D.Fofana,0.0,0,11325,0.0,0,0,0.0,64,,63,0,0.0,0.0,0.0,641
165,Deivid Washington de Souza Eugênio,50,FWD,Chelsea,0,635,58,0.0,0,632,,,0,1241,0,0.0,0,631,0.00,63,30.0,58,0.0,267,0,0.0,0,64,0,0.00,0.0,0,63,0.0,,0.00,0,0,619,6774,0.0,a,0.0,0,0.0,0.1,0,1257,0,0.00,0.0,635,0.0,0.0,409,0,False,64,,,0.0,0,0,Deivid,0.0,0,7521,0.0,0,0,,63,,62,0,0.0,0.0,0.0,633
166,Kiernan Dewsbury-Hall,58,MID,Chelsea,1,368,139,0.0,0,323,,,0,1641,5,0.54,0,373,0.01,291,241.0,60,1.0,96,0,2.0,0,189,2,0.00,1.8,0,181,0.0,,0.01,0,-2,640,3505,0.02,a,0.3,0,0.0,0.2,38,266,0,0.23,0.0,379,0.3,0.3,398,0,False,192,,,0.4,2,0,Dewsbury-Hall,0.1,0,16510,0.02,0,0,,192,,187,0,0.0,2.37,0.3,375
167,Axel Disasi,44,DEF,Chelsea,0,14,106,1.48,0,332,,,0,1650,23,2.29,0,333,0.00,169,73.0,134,6.0,538,1,6.6,0,4,6,0.00,1.3,0,110,0.0,,0.00,0,-1,420,11056,0.0,a,2.0,0,0.0,0.4,61,4323,0,1.55,1.48,362,2.0,2.0,290,0,False,46,,,0.8,1,1,Disasi,0.5,6,23575,0.0,0,0,,117,,113,0,0.0,0.0,1.4,137
168,Enzo Fernández,50,MID,Chelsea,5,185,52,1.0,0,57,,4.0,0,18150,42,1.04,0,172,0.20,67,10.0,155,2.0,239,0,43.6,0,87,6,0.22,62.9,0,47,0.07,,0.42,0,0,118,91717,0.14,a,1.3,0,0.0,1.6,270,6315,0,3.13,0.0,103,1.3,1.3,163,0,False,108,5.0,,14.1,0,3,Enzo,0.3,0,105321,0.07,0,0,,62,1.0,61,0,34.0,1.67,1.2,211
169,Conor Gallagher,59,MID,Chelsea,0,647,128,0.0,0,647,0.0,,0,1595,0,0.0,0,647,0.00,292,,58,0.0,90,0,0.0,0,297,0,0.00,0.0,0,296,0.0,Transferred to Atletico Madrid,0.00,0,-1,642,1567,0.0,u,0.0,0,0.0,0.2,0,0,0,0.00,0.0,648,0.0,0.0,367,0,False,295,,2024-08-22T11:20:34.236891Z,0.0,1,0,Gallagher,0.0,0,67381,0.0,0,0,0.0,297,,296,0,0.0,0.0,0.0,645
170,Alfie Gilchrist,40,DEF,Chelsea,0,457,180,0.0,0,433,0.0,,0,344,0,0.0,0,447,0.00,132,,199,0.0,642,0,0.0,0,153,0,0.00,0.0,0,153,0.0,Has joined Sheffield United on a season-long,0.00,0,0,375,0,0.0,u,0.0,0,0.0,0.1,0,0,0,0.00,0.0,453,0.0,0.0,506,0,False,149,,2024-08-09T11:15:16.064928Z,0.0,0,0,Gilchrist,0.0,0,4775,0.0,0,0,0.0,154,,154,0,0.0,0.0,0.0,438
171,Malo Gusto,49,DEF,Chelsea,5,335,55,1.07,0,176,0.0,,0,46171,16,1.0,0,230,0.11,43,73.0,38,1.0,322,0,28.2,1,113,3,0.03,21.6,0,43,0.01,Thigh injury - Expected back 28 Sep,0.14,-1,-1,184,96615,0.05,i,0.0,0,0.0,1.8,253,229,0,2.82,0.0,240,0.7,0.0,147,0,False,95,,2024-09-02T01:30:06.042221Z,6.4,1,3,Gusto,0.1,0,231281,0.04,1,0,0.0,80,,87,0,14.0,1.78,0.6,293
172,Reece James,50,DEF,Chelsea,0,617,175,0.0,0,613,0.0,,0,921,0,0.0,0,611,0.00,211,241.0,26,0.0,222,0,0.0,0,213,0,0.00,0.0,0,214,0.0,Hamstring injury - Unknown return date,0.00,0,0,594,2142,0.0,i,0.0,0,0.0,0.1,0,134,0,0.00,0.0,615,0.0,0.0,477,0,False,214,2.0,2024-07-17T13:30:05.006577Z,0.0,0,0,James,0.0,0,6511,0.0,0,0,0.0,214,4.0,214,0,0.0,0.0,0.0,611
173,Omari Kellyman,45,MID,Chelsea,0,572,225,0.0,0,565,0.0,,0,473,0,0.0,0,565,0.00,229,241.0,286,0.0,484,0,0.0,0,252,0,0.00,0.0,0,252,0.0,Hamstring injury - Unknown return date,0.00,0,0,532,1630,0.0,i,0.0,0,0.0,0.0,0,38,0,0.00,0.0,570,0.0,0.0,543,0,False,246,,2024-09-08T23:00:06.668188Z,0.0,0,0,Kellyman,0.0,0,2654,0.0,0,0,25.0,251,,247,0,0.0,0.0,0.0,563
174,Roméo Lavia,45,MID,Chelsea,1,173,63,1.38,0,235,50.0,,0,11079,18,0.91,0,283,0.18,218,21.0,275,2.0,470,0,15.2,0,77,2,0.00,13.5,0,143,0.0,Hamstring injury - 50% chance of playing,0.18,0,0,520,98635,0.25,d,0.0,0,0.0,1.0,65,1085,0,0.66,0.0,305,0.0,0.0,199,0,False,235,,2024-08-27T11:00:05.591579Z,2.9,0,1,Lavia,0.0,0,114973,0.25,0,0,0.0,149,,131,0,0.0,1.38,0.4,551
175,Romelu Lukaku Bolingoli,63,FWD,Chelsea,0,650,53,0.0,0,650,0.0,,0,2252,0,0.0,0,650,0.00,68,,19,0.0,63,0,0.0,0,69,0,0.00,0.0,0,69,0.0,Permanent transfer to Napoli,0.00,0,-2,646,8049,0.0,u,0.0,0,0.0,0.3,0,0,0,0.00,0.0,651,0.0,0.0,335,0,False,69,,2024-08-30T10:21:53.872158Z,0.0,2,0,Lukaku,0.0,0,55534,0.0,0,0,0.0,69,,69,0,0.0,0.0,0.0,648
176,Malang Sarr,45,DEF,Chelsea,0,519,214,0.0,0,509,0.0,,0,22,0,0.0,0,510,0.00,189,,66,0.0,382,0,0.0,0,198,0,0.00,0.0,0,199,0.0,Permanent move to RC Lens,0.00,0,0,466,0,0.0,u,0.0,0,0.0,0.0,0,0,0,0.00,0.0,516,0.0,0.0,649,0,False,199,,2024-07-29T09:46:25.583703Z,0.0,0,0,M.Sarr,0.0,0,380,0.0,0,0,0.0,200,,200,0,0.0,0.0,0.0,506
177,Noni Madueke,66,MID,Chelsea,3,4,11,1.15,0,136,,3.0,3,106700,85,1.42,0,20,0.15,9,241.0,23,8.3,41,1,118.8,0,3,25,1.24,33.7,0,95,0.47,,1.39,0,1,15,1528696,0.53,a,8.3,0,0.0,12.3,235,109596,1,3.72,0.38,23,8.3,8.3,34,0,False,4,,,29.0,-1,3,Madueke,1.3,3,446990,0.06,0,3,,17,,8,0,137.0,1.15,3.8,5
178,Marc Guiu Paz,50,FWD,Chelsea,1,344,40,0.0,0,366,,,0,8010,2,0.41,0,624,0.00,60,200.0,55,1.0,252,0,0.0,0,32,1,0.00,0.3,0,41,0.0,,0.00,0,0,611,44405,0.0,a,0.0,0,0.0,0.7,24,3200,0,0.11,0.0,628,0.0,0.0,219,0,False,61,,,0.0,0,0,Marc Guiu,0.0,0,58068,0.0,0,0,,60,,59,0,0.0,3.75,0.2,626
179,Mykhailo Mudryk,63,MID,Chelsea,2,375,110,1.48,0,229,,,0,2603,9,3.04,0,321,0.16,296,225.0,50,1.0,71,0,8.6,0,195,2,0.00,14.4,0,139,0.0,,0.16,-1,-2,648,10073,0.24,a,0.7,0,0.0,0.3,61,782,0,2.06,0.0,327,0.7,0.7,326,0,False,160,,,2.2,2,1,Mudryk,0.1,0,23490,0.24,1,0,,164,,159,0,0.0,2.95,0.3,314
180,Nicolas Jackson,76,FWD,Chelsea,4,50,10,1.2,0,76,,,2,68313,69,1.34,0,43,0.08,2,189.0,5,4.8,15,1,95.2,2,11,19,2.29,53.6,0,5,0.69,,2.37,0,1,5,730785,0.71,a,5.7,0,0.0,6.9,300,71981,1,4.45,0.3,16,5.7,5.7,61,0,False,6,,,31.4,-1,4,N.Jackson,0.8,1,272978,0.02,0,2,,3,,7,1,165.0,1.2,2.5,24
181,Christopher Nkunku,62,MID,Chelsea,1,142,26,1.14,0,124,,2.0,1,29702,43,1.36,0,155,0.10,64,73.0,51,2.5,72,0,48.4,0,62,10,0.45,36.5,0,89,0.51,,0.55,0,-3,110,161095,0.62,a,3.0,0,0.0,4.8,79,30611,0,1.19,0.0,130,3.0,3.0,82,0,False,43,,,12.0,3,1,Nkunku,0.5,7,1214039,0.11,0,1,,73,,57,0,36.0,1.14,1.6,102
182,Cole Palmer,106,MID,Chelsea,5,10,2,1.02,0,7,100.0,1.0,4,122419,123,1.22,0,6,1.07,54,241.0,2,7.0,3,1,145.8,2,5,28,0.85,157.1,0,6,0.22,,1.92,0,1,89,1394999,0.49,a,8.7,0,0.0,39.6,352,127039,1,4.79,0.26,11,8.7,8.7,3,0,True,3,1.0,2024-09-04T10:00:05.275173Z,34.8,-1,4,Palmer,0.8,3,1064113,0.27,0,1,100.0,10,2.0,4,4,45.0,1.28,2.6,4
183,Đorđe Petrović,44,GKP,Chelsea,0,503,42,0.0,0,483,0.0,,0,4444,0,0.0,0,494,0.00,43,,36,0.0,554,0,0.0,0,64,0,0.00,0.0,0,47,0.0,Loaned to Strasbourg,0.00,0,-1,434,2753,0.0,u,0.0,0,0.0,0.4,0,0,0,0.00,0.0,500,0.0,0.0,292,0,False,62,,2024-08-31T06:26:07.653045Z,0.0,1,0,Petrović,0.0,0,45362,0.0,0,0,0.0,64,,64,0,0.0,0.0,0.0,488
184,Renato Palma Veiga,45,MID,Chelsea,1,249,112,0.84,0,283,,,0,2262,19,1.67,0,266,0.01,107,173.0,289,1.3,488,1,18.4,1,127,4,0.04,5.5,0,162,0.03,,0.05,0,0,179,23719,0.04,a,1.0,0,0.0,0.3,107,7390,0,1.98,0.84,289,1.0,1.0,330,0,False,118,,,3.9,0,1,Renato Veiga,0.2,2,10939,0.01,0,0,,142,,123,0,15.0,0.84,0.9,240
185,Robert Sánchez,45,GKP,Chelsea,5,31,12,1.0,1,512,,,3,14755,71,1.23,0,17,0.00,56,200.0,22,5.0,389,1,121.0,1,5,20,0.00,0.0,0,59,0.0,,0.00,0,0,470,453608,0.0,a,6.0,0,3.5,6.0,360,176638,1,4.91,0.25,128,6.0,6.0,68,14,False,2,,,12.0,0,4,Sánchez,1.3,15,147255,0.0,0,0,,4,,4,0,0.0,1.25,4.4,16
187,Tosin Adarabioyo,44,DEF,Chelsea,0,286,145,0.0,0,258,,,0,955,13,0.71,0,302,0.00,156,241.0,116,1.0,518,0,11.0,0,93,1,0.00,10.8,0,81,0.0,,0.00,0,-1,405,1843,0.0,a,0.3,0,0.0,0.2,28,460,0,0.22,0.0,324,0.3,0.3,392,0,False,110,,,2.2,1,0,Tosin,0.1,1,12157,0.0,0,0,,105,,106,0,0.0,0.0,0.2,329
189,Wesley Fofana,45,DEF,Chelsea,5,134,79,1.0,0,121,,,2,3634,52,1.23,0,103,0.08,49,73.0,94,2.5,422,1,65.6,2,41,10,0.04,36.8,0,22,0.01,,0.12,0,0,194,51247,0.03,a,3.0,0,0.0,0.7,360,14786,0,4.91,0.25,138,3.0,3.0,221,0,False,28,,,11.5,0,4,W.Fofana,0.7,7,23797,0.02,0,0,,37,,35,0,12.0,1.25,2.2,94
386,Jadon Sancho,63,MID,Chelsea,0,117,72,0.0,0,166,,,0,4019,15,0.96,0,248,0.14,145,241.0,48,3.0,69,0,22.4,1,50,3,0.00,24.6,0,113,0.0,,0.14,0,-2,257,54196,0.28,a,1.0,0,0.0,0.7,45,39832,0,0.48,0.0,257,1.0,1.0,218,0,False,139,,,5.3,2,0,Sancho,0.2,3,28836,0.28,0,0,,127,,111,1,6.0,0.0,0.5,269
560,Pedro Lomba Neto,64,MID,Chelsea,2,246,69,1.01,0,63,,,0,12574,22,0.85,0,217,0.26,109,173.0,40,1.5,60,0,33.4,1,125,6,0.04,58.5,0,50,0.02,,0.30,0,-1,182,44560,0.15,a,1.7,0,0.0,0.8,179,2321,0,1.70,0.0,154,1.7,1.7,211,0,False,95,,,10.6,1,2,Neto,0.3,1,83517,0.13,0,0,,84,3.0,92,1,15.0,1.01,0.9,187
575,Caleb Wiley,40,DEF,Chelsea,0,450,191,0.0,0,427,0.0,,0,145,0,0.0,0,441,0.00,127,,193,0.0,634,0,0.0,0,148,0,0.00,0.0,0,149,0.0,Loaned to Strasbourg,0.00,0,0,368,0,0.0,u,0.0,0,0.0,0.0,0,0,0,0.00,0.0,447,0.0,0.0,560,0,False,144,,2024-08-13T07:07:06.645739Z,0.0,0,0,Wiley,0.0,0,2512,0.0,0,0,0.0,150,,150,0,0.0,0.0,0.0,431
581,Filip Jørgensen,44,GKP,Chelsea,0,506,49,0.0,0,487,,,0,1875,0,0.0,0,497,0.00,44,58.0,37,0.0,560,0,0.0,0,65,0,0.00,0.0,0,48,0.0,,0.00,0,-1,438,3792,0.0,a,0.0,0,0.0,0.2,0,235,0,0.00,0.0,503,0.0,0.0,338,0,False,63,,,0.0,1,0,Jørgensen,0.0,0,15917,0.0,0,0,,65,,65,0,0.0,0.0,0.0,491
621,João Félix Sequeira,65,MID,Chelsea,0,148,66,0.0,0,277,,,0,21958,28,0.7,0,185,0.04,62,173.0,31,2.3,50,0,41.4,1,68,7,0.22,6.5,0,158,0.24,,0.26,0,0,106,130844,0.28,a,2.3,0,0.0,0.9,83,5075,0,0.65,0.0,189,2.3,2.3,202,0,False,59,,,8.4,0,0,João Félix,0.4,0,71213,0.04,0,1,,99,,69,0,37.0,0.0,1.1,134
